|         E          |        E-E0        |          max config      
|  -968.937054273319 |   148.364985233598 | [  0  0  1  0  0  1  0  1  0 ] (0.1786)
|  -968.898399086613 |   148.403640420304 | [  0  0  0  0  0  0  1  0  1 ] (0.2520)
|  -968.391034479899 |   148.911005027018 | [  0  0  0  0  0  2  0  1  0 ] (0.2570)
|  -967.207030959363 |   150.095008547554 | [  0  0  0  2  1  0  0  0  0 ] (0.1952)
|  -967.042627278995 |   150.259412227922 | [  0  0  1  0  0  1  1  0  0 ] (0.4219)
|  -966.938742962603 |   150.363296544314 | [  0  0  0  0  0  1  0  2  0 ] (0.3771)
|  -965.630611224491 |   151.671428282426 | [  0  0  0  2  0  1  0  0  0 ] (0.2005)
|  -964.603283686118 |   152.698755820799 | [  0  1  0  0  0  0  1  1  0 ] (0.1227)
|  -964.246028291111 |   153.056011215806 | [  0  0  0  0  0  2  1  0  0 ] (0.1479)
|  -962.841598774519 |   154.460440732398 | [  0  0  0  0  0  0  1  2  0 ] (0.2398)
|  -962.149308187139 |   155.152731319778 | [  0  1  1  0  0  0  0  0  1 ] (0.1852)
|  -961.820404682053 |   155.481634824864 | [  0  0  0  0  0  0  1  2  0 ] (0.2261)
|  -960.944562442531 |   156.357477064386 | [  0  0  0  0  0  2  1  0  0 ] (0.1976)
|  -960.650337590512 |   156.651701916405 | [  1  0  0  0  1  0  0  0  1 ] (0.4323)
|  -960.188346822488 |   157.113692684429 | [  1  0  0  1  0  0  0  0  1 ] (0.3361)
|  -959.518774191164 |   157.783265315753 | [  0  1  0  1  0  0  0  0  1 ] (0.3070)
|  -958.663027511536 |   158.639011995381 | [  0  0  0  0  2  0  1  0  0 ] (0.2375)
|  -957.357891311509 |   159.944148195408 | [  0  1  0  0  1  0  0  0  1 ] (0.3575)
|  -956.751267122081 |   160.550772384836 | [  1  0  0  0  0  0  0  0  2 ] (0.1615)
|  -956.350617329858 |   160.951422177059 | [  1  0  0  0  0  1  0  0  1 ] (0.2257)
|  -956.345674011177 |   160.956365495740 | [  0  0  0  1  0  0  2  0  0 ] (0.2403)
|  -955.800912186236 |   161.501127320681 | [  0  1  0  0  0  1  0  0  1 ] (0.1775)
|  -955.291295990168 |   162.010743516749 | [  0  0  2  0  0  0  0  0  1 ] (0.1664)
|  -954.962592663954 |   162.339446842964 | [  0  0  0  1  1  1  0  0  0 ] (0.4867)
|  -953.032961030740 |   164.269078476177 | [  0  1  0  1  0  0  0  0  1 ] (0.1679)
|  -952.908441571289 |   164.393597935628 | [  0  0  0  2  0  0  0  1  0 ] (0.2157)
|  -951.557612291882 |   165.744427215035 | [  0  0  0  1  1  0  1  0  0 ] (0.2711)
|  -951.404469749436 |   165.897569757481 | [  1  0  0  0  0  0  1  0  1 ] (0.2569)
|  -951.215156077759 |   166.086883429158 | [  0  0  1  1  0  0  0  0  1 ] (0.2226)
|  -950.742839097002 |   166.559200409915 | [  1  0  0  0  0  0  0  1  1 ] (0.3280)
|  -950.337682326179 |   166.964357180738 | [  0  0  0  0  2  0  0  1  0 ] (0.1507)
|  -948.897258725181 |   168.404780781736 | [  0  0  0  2  0  0  0  0  1 ] (0.2091)
|  -948.847642190018 |   168.454397316899 | [  0  1  0  0  0  0  0  0  2 ] (0.1857)
|  -947.868072156183 |   169.433967350734 | [  0  0  1  1  0  0  0  0  1 ] (0.1734)
|  -946.988906173813 |   170.313133333104 | [  0  0  0  0  1  1  0  1  0 ] (0.4341)
|  -946.235755189144 |   171.066284317773 | [  0  1  0  0  0  0  0  1  1 ] (0.2881)
|  -945.802219278696 |   171.499820228221 | [  0  0  0  0  1  1  1  0  0 ] (0.2919)
